"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.261675309E1,-7.887247423E1,3.819524254E2,3.481853027E2,9.100000262E-1,8.350000000E1,1.701472083E-3,5.360000134E0,8.000000000E0,0.000000000E0
3.724179680E-1,4.261674569E1,-7.887245603E1,3.814369564E2,3.476698608E2,7.200000286E-1,8.440000153E1,3.119916558E-3,5.360000134E0,8.000000000E0,1.400000000E1
1.376053957E0,4.261674621E1,-7.887243871E1,3.782055652E2,3.444384766E2,7.799999714E-1,8.440000153E1,4.275235456E-3,4.288000107E0,6.000000000E0,1.600000000E1
2.381130780E0,4.261674698E1,-7.887242463E1,3.760075624E2,3.422404785E2,9.599999785E-1,9.319999695E1,5.814784207E-3,3.216000080E0,4.000000000E0,2.000000000E1
3.372049477E0,4.261674575E1,-7.887240589E1,3.773560612E2,3.435889893E2,1.169999957E0,9.019999695E1,7.501979581E-3,3.216000080E0,3.000000000E0,2.000000000E1
4.375317342E0,4.261674215E1,-7.887238586E1,3.775013674E2,3.437343140E2,7.400000095E-1,9.350000000E1,8.801759600E-3,3.216000080E0,3.000000000E0,2.100000000E1
5.378087966E0,4.261673804E1,-7.887237099E1,3.767161328E2,3.429490967E2,9.100000262E-1,9.550000000E1,1.012174167E-2,3.216000080E0,3.000000000E0,2.100000000E1
6.377934633E0,4.261673678E1,-7.887235495E1,3.768817104E2,3.431146851E2,1.129999995E0,8.590000153E1,1.145033722E-2,3.216000080E0,3.000000000E0,2.100000000E1
7.370353538E0,4.261673808E1,-7.887233881E1,3.759882734E2,3.422212524E2,9.499999881E-1,9.509999847E1,1.264916324E-2,3.216000080E0,3.000000000E0,2.100000000E1
8.372987757E0,4.261673946E1,-7.887232428E1,3.762041514E2,3.424371338E2,9.300000072E-1,9.500000000E1,1.376011510E-2,3.216000080E0,3.000000000E0,2.100000000E1
9.373532548E0,4.261674052E1,-7.887231078E1,3.762183078E2,3.424512939E2,8.700000048E-1,9.500000000E1,1.483789325E-2,3.216000080E0,3.000000000E0,2.100000000E1
1.037285427E1,4.261674012E1,-7.887229762E1,3.765610740E2,3.427940674E2,8.899999857E-1,9.200000000E1,1.589186246E-2,3.216000080E0,3.000000000E0,2.200000000E1
1.137151911E1,4.261674006E1,-7.887228474E1,3.760881674E2,3.423211670E2,8.000000119E-1,9.200000000E1,1.695015961E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.237500114E1,4.261673985E1,-7.887227181E1,3.758092301E2,3.420422363E2,9.700000286E-1,9.200000000E1,1.795122131E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.337448307E1,4.261673929E1,-7.887225960E1,3.759721868E2,3.422052002E2,6.700000167E-1,9.200000000E1,1.885887120E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.437324416E1,4.261673913E1,-7.887224851E1,3.758186167E2,3.420516357E2,8.399999738E-1,9.200000000E1,1.994653317E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.537622359E1,4.261673896E1,-7.887223522E1,3.759958561E2,3.422288818E2,1.039999962E0,9.200000000E1,2.103010435E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.637006604E1,4.261673879E1,-7.887222198E1,3.761116941E2,3.423447266E2,9.100000262E-1,8.859999847E1,2.189431390E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.737311249E1,4.261673891E1,-7.887221142E1,3.760625561E2,3.422955933E2,6.800000072E-1,8.840000153E1,2.273995383E-2,3.216000080E0,3.000000000E0,2.300000000E1
1.837552572E1,4.261673869E1,-7.887220109E1,3.742492572E2,3.404822998E2,8.700000048E-1,8.840000153E1,2.363982447E-2,3.216000080E0,3.000000000E0,2.400000000E1
1.936946364E1,4.261673898E1,-7.887219010E1,3.744796605E2,3.407127075E2,8.399999738E-1,8.740000153E1,2.468548130E-2,3.216000080E0,3.000000000E0,2.500000000E1
2.037874635E1,4.261673980E1,-7.887217737E1,3.749156306E2,3.411486816E2,1.110000014E0,8.740000153E1,2.588681012E-2,3.216000080E0,3.000000000E0,2.500000000E1
2.137748640E1,4.261674022E1,-7.887216270E1,3.748758909E2,3.411089478E2,1.220000029E0,8.850000000E1,2.708770021E-2,3.216000080E0,3.000000000E0,2.500000000E1
2.236883260E1,4.261674072E1,-7.887214804E1,3.750597841E2,3.412928467E2,1.110000014E0,8.850000000E1,2.803366205E-2,3.216000080E0,3.000000000E0,2.500000000E1
2.336935796E1,4.261674143E1,-7.887213652E1,3.751231960E2,3.413562622E2,8.799999952E-1,8.840000153E1,2.890095258E-2,3.216000080E0,3.000000000E0,2.500000000E1
2.437198728E1,4.261674238E1,-7.887212600E1,3.748968140E2,3.411298828E2,9.200000167E-1,8.840000153E1,2.979208836E-2,3.216000080E0,3.000000000E0,2.500000000E1
2.537006660E1,4.261674341E1,-7.887211520E1,3.748573828E2,3.410904541E2,9.300000072E-1,8.840000153E1,3.084429258E-2,3.216000080E0,3.000000000E0,2.400000000E1
2.637368202E1,4.261674392E1,-7.887210236E1,3.752304249E2,3.414635010E2,1.179999948E0,8.490000153E1,3.186189830E-2,3.216000080E0,3.000000000E0,2.400000000E1
2.737540556E1,4.261674451E1,-7.887208995E1,3.755412115E2,3.417742920E2,8.799999952E-1,8.490000153E1,3.262403490E-2,3.216000080E0,3.000000000E0,2.400000000E1
2.837496650E1,4.261674579E1,-7.887208080E1,3.755840570E2,3.418171387E2,7.400000095E-1,8.480000305E1,NaN,3.216000080E0,3.000000000E0,2.400000000E1
