"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,1.419502217E-2,-2.154017091E-1,2.035504729E-1,2.967021906E-1
9.969000006E-3,-1.269232184E-1,-2.380657345E-1,2.478849143E-1,3.663764840E-1
1.993700000E-2,-2.510813475E-1,-2.629937530E-1,3.033770025E-1,4.735453123E-1
2.990600001E-2,-3.492593169E-1,-3.124979138E-1,3.736647367E-1,5.993849782E-1
3.987400001E-2,-4.190239012E-1,-3.709151447E-1,4.526560307E-1,7.197614580E-1
4.984300002E-2,-4.553030729E-1,-4.384856820E-1,5.322079062E-1,8.263267132E-1
5.981100001E-2,-4.419970810E-1,-5.119783282E-1,6.179521680E-1,9.161594349E-1
6.978000002E-2,-3.754561543E-1,-5.923040509E-1,6.896167397E-1,9.835459625E-1
7.974800002E-2,-2.675373554E-1,-6.441437602E-1,7.355053425E-1,1.013639743E0
8.971600002E-2,-1.477422565E-1,-7.168025374E-1,7.809804082E-1,1.070310259E0
9.968500002E-2,-8.086236566E-2,-8.228467703E-1,8.296695352E-1,1.171309979E0
1.096530000E-1,-9.972713888E-2,-8.161484003E-1,9.075267911E-1,1.224601401E0
1.196220000E-1,-2.068070769E-1,-7.853137255E-1,9.753019810E-1,1.269133866E0
1.295900000E-1,-3.362987638E-1,-7.497975230E-1,1.006081462E0,1.299035447E0
1.395590000E-1,-4.460301101E-1,-7.436618805E-1,1.006254077E0,1.328353537E0
1.495270000E-1,-5.142027736E-1,-7.813099623E-1,9.852849245E-1,1.358541914E0
1.594950000E-1,-5.413478613E-1,-8.391844630E-1,9.750233889E-1,1.395692903E0
1.694640000E-1,-5.930944085E-1,-1.050897717E0,9.644567370E-1,1.544773054E0
1.794320000E-1,-6.946511865E-1,-1.306495428E0,9.679241776E-1,1.768148124E0
1.894010000E-1,-8.318133354E-1,-1.475464225E0,9.903506041E-1,1.962065856E0
1.993690000E-1,-1.018639207E0,-1.576989532E0,1.024489284E0,2.138714593E0
2.093380000E-1,-1.232388258E0,-1.458332300E0,1.073427558E0,2.190379108E0
2.193060000E-1,-1.504657269E0,-1.139192939E0,1.096883416E0,2.182866756E0
2.292740000E-1,-1.922875047E0,-1.105946064E0,1.005300760E0,2.435404435E0
2.392430000E-1,-2.222361326E0,-1.349283099E0,9.414489269E-1,2.765100510E0
2.492110000E-1,-2.565320492E0,-1.244823813E0,9.419488311E-1,3.002952406E0
2.591800000E-1,-2.891323090E0,-1.168971658E0,8.975929022E-1,3.245291507E0
2.691480000E-1,-3.226292610E0,-9.184978604E-1,7.822298408E-1,3.444486297E0
2.791170000E-1,-3.493090391E0,-7.772732973E-1,5.267546773E-1,3.617085118E0
2.890850000E-1,-3.682887554E0,-8.202044964E-1,1.949866265E-1,3.778149803E0
2.990530000E-1,-3.802944899E0,-7.773604989E-1,-7.629776001E-2,3.882331850E0
3.090220000E-1,-3.842884064E0,-7.896624207E-1,-2.512075305E-1,3.931212267E0
3.189900000E-1,-3.794388533E0,-8.151690960E-1,-3.190149665E-1,3.894053870E0
3.289590000E-1,-3.657066822E0,-7.831147313E-1,-3.062964678E-1,3.752495696E0
3.389270000E-1,-3.381253481E0,-7.608768344E-1,-2.376245558E-1,3.473942154E0
3.488960000E-1,-2.977709770E0,-6.817373037E-1,-1.317495257E-1,3.057593689E0
3.588640000E-1,-2.483321905E0,-4.516126215E-1,-8.105020225E-2,2.525353595E0
3.688330000E-1,-1.989954114E0,-8.475579321E-2,-1.641464233E-1,1.998510688E0
3.788010000E-1,-1.582718611E0,3.045910895E-1,-3.436197937E-1,1.647983160E0
3.887690000E-1,-1.329059958E0,7.130044103E-1,-6.449133158E-1,1.640331932E0
3.987380000E-1,-1.263617635E0,1.008294940E0,-9.631379247E-1,1.881760579E0
4.087060000E-1,-1.341502905E0,1.208877325E0,-1.258320332E0,2.200996249E0
4.186750000E-1,-1.475568056E0,1.362432003E0,-1.648562193E0,2.598322412E0
4.286430000E-1,-1.555703402E0,1.650019288E0,-2.076937675E0,3.075133628E0
4.386120000E-1,-1.498853564E0,2.023403883E0,-2.415075779E0,3.489027988E0
4.485800000E-1,-1.282401681E0,2.479221582E0,-2.573672056E0,3.796693506E0
