"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-2.420359477E-2,-3.332336619E-2,3.697399981E-3,4.135131801E-2
9.967999998E-3,-2.534753643E-2,-2.389889397E-2,3.797453828E-3,3.504390662E-2
1.993600000E-2,-1.515508723E-2,-6.915383041E-3,2.479988150E-3,1.684189813E-2
2.990299999E-2,-2.708231332E-3,1.047441736E-3,2.133245580E-3,3.603108081E-3
3.987099999E-2,9.709290229E-3,7.413994987E-3,2.350825816E-3,1.244041882E-2
4.983900001E-2,1.179842278E-2,1.499191765E-2,2.171223052E-3,1.920090062E-2
5.980700001E-2,4.949038848E-3,9.434966370E-3,1.464952715E-3,1.075442525E-2
6.977500001E-2,-8.136669174E-3,-2.893073019E-3,2.900130115E-3,9.109665824E-3
7.974300001E-2,-1.463025529E-2,-1.450312324E-2,4.941442981E-3,2.118496666E-2
8.971100001E-2,-9.839027189E-3,-7.324086502E-3,2.627458423E-3,1.254401199E-2
9.967900001E-2,9.656837210E-4,4.112591967E-3,3.542253748E-3,5.513031775E-3
1.096470000E-1,4.851585254E-3,1.236763131E-2,2.892228775E-3,1.359636609E-2
1.196150000E-1,8.632209152E-3,1.162567455E-2,1.676762477E-3,1.457679238E-2
1.295830000E-1,-4.993278533E-3,-4.022029229E-3,5.047162063E-3,8.159864859E-3
1.395510000E-1,-1.375561021E-2,1.006551553E-3,1.081476919E-2,1.752681349E-2
1.495190000E-1,3.530149115E-3,-5.408808589E-3,9.978572838E-3,1.188650828E-2
1.594870000E-1,-7.952336222E-3,3.948474303E-3,8.250447921E-3,1.212023067E-2
1.694550000E-1,8.375260513E-4,1.264699921E-2,1.652809978E-2,2.082849301E-2
1.794230000E-1,2.641772106E-2,-1.433641464E-2,2.103976160E-2,3.668924010E-2
1.893910000E-1,8.124628104E-3,6.510878913E-3,3.282612190E-2,3.443770325E-2
1.993590000E-1,1.721266657E-2,1.343003754E-2,3.886244446E-2,4.457500856E-2
2.093270000E-1,-3.785243491E-3,-2.933095396E-2,5.768181384E-2,6.482148236E-2
2.192950000E-1,-8.381326683E-3,-1.568198577E-2,7.245836407E-2,7.460821562E-2
2.292630000E-1,5.829921924E-3,1.622908749E-3,8.849582076E-2,8.870249216E-2
2.392310000E-1,4.893820733E-3,-1.574216411E-3,9.883261472E-2,9.896622338E-2
2.491990000E-1,8.756611496E-3,1.234310493E-2,1.149951443E-1,1.159866962E-1
2.591670000E-1,-4.505664110E-3,1.350642182E-3,1.259902716E-1,1.260780464E-1
2.691350000E-1,-1.677791774E-2,-1.471025869E-2,1.395907104E-1,1.413628546E-1
2.791030000E-1,-1.180606335E-2,-1.018421538E-2,1.522846669E-1,1.530807667E-1
2.890710000E-1,3.312815679E-4,-2.445502207E-2,1.642954350E-1,1.661058331E-1
2.990390000E-1,1.541569177E-2,-6.291730795E-3,1.750716269E-1,1.758616046E-1
3.090070000E-1,2.052543499E-2,6.147935987E-3,1.881150007E-1,1.893313078E-1
3.189750000E-1,1.093699038E-2,-1.648254134E-2,1.994100064E-1,2.003887287E-1
3.289430000E-1,4.874963313E-3,-2.215320617E-2,2.118466645E-1,2.130575957E-1
3.389110000E-1,-8.503004210E-4,-3.074562736E-2,2.227512449E-1,2.248647009E-1
3.488790000E-1,-1.586778322E-3,-3.553782031E-2,2.391708493E-1,2.418018811E-1
3.588470000E-1,6.357697770E-3,-1.940252632E-2,2.552270591E-1,2.560424380E-1
3.688150000E-1,3.474902362E-3,-2.090406790E-2,2.719523013E-1,2.727766654E-1
3.787830000E-1,1.963558374E-3,-2.432436496E-2,2.944706678E-1,2.954801254E-1
3.887500000E-1,3.808814799E-3,-1.769013330E-2,3.141805828E-1,3.147012654E-1
3.987180000E-1,9.906654246E-3,-2.345880680E-2,3.319044411E-1,3.328798814E-1
4.086860000E-1,2.013050206E-2,-8.876116946E-3,3.453934491E-1,3.460934227E-1
4.186540000E-1,1.963222399E-2,-4.292017780E-3,3.645037413E-1,3.650572873E-1
4.286220000E-1,1.365341526E-2,-1.967753470E-2,3.790346384E-1,3.797905715E-1
4.385900000E-1,1.104298420E-2,-2.360916138E-2,3.925080895E-1,3.933725211E-1
4.485580000E-1,1.835878822E-3,-3.324863315E-2,4.028989971E-1,4.042727345E-1
4.585260000E-1,-6.006471813E-4,-4.070335254E-2,4.158611298E-1,4.178487800E-1
4.684940000E-1,1.255474985E-3,-4.091554135E-2,4.262051582E-1,4.281664333E-1
4.784620000E-1,1.502616331E-3,-4.179784656E-2,4.380708635E-1,4.400629492E-1
4.884300000E-1,8.121863939E-3,-3.837681189E-2,4.507914186E-1,4.524949142E-1
4.983980000E-1,1.204762980E-2,-3.587424010E-2,4.639484882E-1,4.654893191E-1
5.083660000E-1,1.215429604E-2,-3.304516524E-2,4.715331793E-1,4.728459041E-1
5.183340000E-1,1.649844646E-2,-2.944483981E-2,4.846862853E-1,4.858600544E-1
5.283020000E-1,1.535287872E-2,-2.599950507E-2,4.924802780E-1,4.934050156E-1
5.382700000E-1,1.512358058E-2,-2.569084242E-2,5.031408668E-1,5.040232870E-1
5.482380000E-1,1.385963522E-2,-2.660287917E-2,5.111174583E-1,5.119969325E-1
5.582060000E-1,1.234509517E-2,-3.078483976E-2,5.237943530E-1,5.248434357E-1
5.681740000E-1,1.339213364E-2,-2.952420153E-2,5.285651088E-1,5.295584028E-1
5.781420000E-1,9.634147398E-3,-3.250560910E-2,5.357193947E-1,5.367911151E-1
5.881100000E-1,7.244085893E-3,-4.282988235E-2,5.440899134E-1,5.458211332E-1
5.980780000E-1,9.203906171E-3,-3.975046799E-2,5.502897501E-1,5.518003449E-1
6.080460000E-1,9.035403840E-3,-4.028634727E-2,5.586543083E-1,5.601778865E-1
6.180140000E-1,7.520598359E-3,-4.676155746E-2,5.637654066E-1,5.657513909E-1
6.279820000E-1,6.401475403E-4,-5.334743485E-2,5.752707720E-1,5.777394047E-1
6.379500000E-1,7.332671434E-3,-5.326248333E-2,5.872717500E-1,5.897277071E-1
6.479180000E-1,1.539119054E-2,-3.831437975E-2,5.909948349E-1,5.924354609E-1
6.578860000E-1,1.446760632E-2,-3.724485263E-2,6.008767486E-1,6.022037509E-1
6.678540000E-1,1.585989445E-2,-4.117957875E-2,6.083172560E-1,6.099157137E-1
6.778220000E-1,1.571501791E-2,-3.770708293E-2,6.123844385E-1,6.137454574E-1
6.877900000E-1,1.947562024E-2,-3.723797575E-2,6.211141348E-1,6.225341236E-1
6.977580000E-1,1.325500850E-2,-3.635913134E-2,6.239796877E-1,6.251786403E-1
7.077260000E-1,9.687550366E-3,-4.425397143E-2,6.316323876E-1,6.332548742E-1
7.176940000E-1,1.119995955E-2,-4.992570728E-2,6.374465823E-1,6.394968027E-1
7.276620000E-1,1.606422290E-2,-4.804924503E-2,6.450440288E-1,6.470305930E-1
7.376300000E-1,1.709513366E-2,-4.492375627E-2,6.536034346E-1,6.553684743E-1
7.475970000E-1,1.700280979E-2,-4.287797585E-2,6.607992649E-1,6.624071896E-1
7.575650000E-1,1.282990165E-2,-4.210486263E-2,6.678729057E-1,6.693217791E-1
7.675330000E-1,1.108967885E-2,-5.277784541E-2,6.803438067E-1,6.824779684E-1
7.775010000E-1,1.727753319E-2,-4.743501171E-2,6.879561543E-1,6.898059610E-1
7.874690000E-1,2.202863991E-2,-4.368858412E-2,6.938017607E-1,6.955248640E-1
7.974370000E-1,2.288191393E-2,-4.257405177E-2,7.053129673E-1,7.069671235E-1
8.074050000E-1,2.279110253E-2,-4.039718211E-2,7.136753201E-1,7.151809766E-1
