"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-7.202271372E-2,-5.565230921E-2,-2.063145489E-1,2.254997647E-1
1.004000000E-2,-5.010436848E-2,-4.982371628E-2,-2.003008574E-1,2.123988793E-1
2.008100000E-2,-2.206917107E-2,-4.721673205E-2,-1.870167404E-1,1.941435791E-1
3.012100000E-2,-5.168485455E-3,-5.449435115E-2,-1.739057302E-1,1.823171702E-1
4.016100000E-2,-4.703325219E-3,-5.887477472E-2,-1.626689732E-1,1.730593979E-1
5.020100000E-2,-8.582751267E-3,-6.809410453E-2,-1.460396647E-1,1.613631134E-1
6.024200000E-2,-1.296140254E-4,-7.287004590E-2,-1.196133867E-1,1.400622100E-1
7.028200000E-2,8.590374142E-3,-6.881459057E-2,-9.186191857E-2,1.150993244E-1
8.032200000E-2,1.872952655E-2,-5.995860696E-2,-6.302259862E-2,8.898133316E-2
9.036300000E-2,2.984982170E-2,-4.135163501E-2,-3.175175935E-2,6.007614997E-2
1.004030000E-1,3.570469469E-2,-2.889841050E-2,4.925864283E-3,4.619748360E-2
1.104430000E-1,3.898863867E-2,-1.528836787E-3,4.218961298E-2,5.746664016E-2
1.204830000E-1,4.199540615E-2,2.008559927E-2,7.903804630E-2,9.172817560E-2
1.305240000E-1,4.245560244E-2,4.226733372E-2,1.161739677E-1,1.307111183E-1
1.405640000E-1,4.831961542E-2,5.750727281E-2,1.505761594E-1,1.682707682E-1
1.506040000E-1,5.411119387E-2,6.969816238E-2,1.832139939E-1,2.033549181E-1
1.606140000E-1,5.565427244E-2,7.987509668E-2,2.095196843E-1,2.310323078E-1
1.706540000E-1,4.983393848E-2,8.355797827E-2,2.297317386E-1,2.494835242E-1
1.806950000E-1,4.051207379E-2,6.988369673E-2,2.473562062E-1,2.602115523E-1
1.907350000E-1,3.778552637E-2,7.036466897E-2,2.586376071E-1,2.706886485E-1
2.007750000E-1,3.195698559E-2,5.722218007E-2,2.661276460E-1,2.740794607E-1
2.108150000E-1,3.439084440E-2,5.474277586E-2,2.683220804E-1,2.760004357E-1
2.208560000E-1,4.186057672E-2,4.683000594E-2,2.679972053E-1,2.752596217E-1
2.308960000E-1,4.942768440E-2,4.051644355E-2,2.642024755E-1,2.718227847E-1
2.409360000E-1,5.196554959E-2,3.847494721E-2,2.599661350E-1,2.678864149E-1
2.509770000E-1,5.165742338E-2,3.254248947E-2,2.493832856E-1,2.567479818E-1
2.610170000E-1,4.496670142E-2,2.924152091E-2,2.353024036E-1,2.413385421E-1
2.710570000E-1,4.183136299E-2,2.381080389E-2,2.209991068E-1,2.261800665E-1
2.810970000E-1,3.509948403E-2,2.044960670E-2,2.055351287E-1,2.095109766E-1
2.911380000E-1,3.301982209E-2,1.290913112E-2,1.891060919E-1,1.924008012E-1
3.011780000E-1,3.188829124E-2,9.740129113E-3,1.720354110E-1,1.752367424E-1
3.112180000E-1,3.047681600E-2,5.923552439E-3,1.556266099E-1,1.586933096E-1
3.212590000E-1,2.712222934E-2,-1.250582747E-3,1.348480433E-1,1.375542586E-1
3.312680000E-1,2.544710040E-2,-6.403799634E-3,1.160394773E-1,1.189694240E-1
3.413090000E-1,1.941096410E-2,-1.406811364E-2,9.512298554E-2,9.809729725E-2
3.513490000E-1,1.561702602E-2,-1.449555065E-2,7.625529170E-2,7.917627171E-2
3.613890000E-1,8.974046446E-3,-2.065621689E-2,5.513809249E-2,5.956023883E-2
3.714290000E-1,8.299201727E-3,-2.500169724E-2,3.762141615E-2,4.592747073E-2
3.814700000E-1,1.957802288E-2,-3.805687279E-2,2.163019590E-2,4.795299700E-2
3.915100000E-1,3.231299296E-2,-5.878878012E-2,1.315149106E-2,6.836089452E-2
4.015500000E-1,4.989510402E-2,-7.572295517E-2,1.103900187E-2,9.135287027E-2
4.115910000E-1,6.587247550E-2,-8.863076568E-2,1.157083549E-2,1.110336881E-1
4.216310000E-1,7.083474845E-2,-9.327502549E-2,1.570466720E-2,1.181711832E-1
4.316710000E-1,7.028853893E-2,-9.093251079E-2,1.703811251E-2,1.161873380E-1
4.417110000E-1,6.519513577E-2,-8.465814590E-2,2.456490509E-2,1.096396003E-1
4.517520000E-1,5.302955210E-2,-6.985150278E-2,2.910000458E-2,9.240225161E-2
4.617920000E-1,4.981232435E-2,-5.700867623E-2,3.992944211E-2,8.558981931E-2
