"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,4.023174345E-1,2.331711054E0,4.094337463E0,4.728883063E0
1.004100000E-2,4.425041080E-1,2.380883455E0,4.066778660E0,4.733191796E0
2.008100001E-2,6.158519387E-1,2.185533762E0,4.182382107E0,4.759007409E0
3.012100000E-2,5.514461994E-1,2.235106707E0,4.137493610E0,4.734833500E0
4.013100000E-2,6.583814621E-1,2.062813997E0,4.134796143E0,4.667462574E0
5.017100000E-2,7.095112801E-1,2.115320921E0,4.107123852E0,4.674019169E0
6.021100000E-2,7.956762314E-1,2.076422215E0,4.075125694E0,4.642335544E0
7.025200000E-2,9.953315854E-1,1.857024312E0,3.980486870E0,4.503720682E0
8.029200000E-2,9.083684683E-1,1.985429168E0,3.956825256E0,4.519239799E0
9.033200001E-2,1.077363133E0,1.664379358E0,3.932525396E0,4.404046544E0
1.003730000E-1,1.120215893E0,2.048133373E0,3.904529333E0,4.549184902E0
1.104130000E-1,1.349877000E0,1.877735853E0,3.929923773E0,4.559864111E0
1.204530000E-1,1.254820466E0,1.904606104E0,3.887664557E0,4.507331197E0
1.304930000E-1,1.302423358E0,1.618726492E0,3.843966246E0,4.369514682E0
1.405340000E-1,1.250110149E0,1.785798311E0,3.815733433E0,4.394504821E0
1.505740000E-1,1.462760448E0,1.646163940E0,3.769187689E0,4.365352183E0
1.606140000E-1,1.389174342E0,1.756967425E0,3.719962835E0,4.342218717E0
1.706550000E-1,1.484904051E0,1.427021980E0,3.616513252E0,4.161790465E0
1.806950000E-1,1.426662326E0,1.568044305E0,3.581884623E0,4.162214048E0
1.907350000E-1,1.574497461E0,1.512034535E0,3.507836580E0,4.131610844E0
2.007750000E-1,1.539196730E0,1.615435004E0,3.454400539E0,4.112376431E0
2.108160000E-1,1.565558553E0,1.449900389E0,3.446248055E0,4.053370249E0
2.208560000E-1,1.621930957E0,1.376213074E0,3.398063898E0,4.008922637E0
2.308960000E-1,1.663375139E0,1.255475163E0,3.372652531E0,3.964570574E0
2.409370000E-1,1.655259132E0,1.167961597E0,3.332673550E0,3.900093598E0
2.509460000E-1,1.685850263E0,9.837532640E-1,3.302146435E0,3.835887468E0
2.609876250E-1,1.694864988E0,8.914794922E-1,3.257955551E0,3.779097430E0
2.710276250E-1,1.765872002E0,8.269945979E-1,3.223319530E0,3.767228794E0
2.810676250E-1,1.862590075E0,8.074994683E-1,3.183545351E0,3.775746043E0
2.911076250E-1,1.880420089E0,6.983569860E-1,3.125036716E0,3.713426540E0
3.011486250E-1,1.837698221E0,5.964884162E-1,3.071440220E0,3.628591766E0
3.111886250E-1,1.689575195E0,5.225598812E-1,3.084378004E0,3.555435394E0
3.212286250E-1,1.562377334E0,3.310953975E-1,3.100448847E0,3.487610951E0
3.312696250E-1,1.333552361E0,1.380766183E-1,3.138972044E0,3.413293504E0
3.413096250E-1,1.434435010E0,-1.578652859E-1,3.203536034E0,3.513569177E0
3.513496250E-1,1.544681072E0,-2.973586023E-1,3.266802073E0,3.625804398E0
3.613896250E-1,1.902043462E0,-1.837899685E-1,3.310053825E0,3.822041916E0
3.714306250E-1,1.988659143E0,-1.679674238E-1,3.321348429E0,3.874833368E0
3.814706250E-1,2.109932184E0,-2.337038219E-1,3.358574867E0,3.973217391E0
3.915106250E-1,2.191712379E0,-1.602420211E-1,3.405066252E0,4.052623451E0
4.015516250E-1,2.233843565E0,-2.479670793E-1,3.460234404E0,4.126107957E0
4.115916250E-1,2.188531160E0,-3.751419783E-1,3.507768154E0,4.151486188E0
4.216316250E-1,2.177901506E0,-5.462508798E-1,3.552114010E0,4.202280207E0
4.316716250E-1,2.178526402E0,-5.041170716E-1,3.550841570E0,4.196258710E0
4.417126250E-1,2.205149889E0,-5.248313546E-1,3.561065912E0,4.221294164E0
4.517216250E-1,2.318634033E0,-6.190712452E-1,3.580352783E0,4.310248141E0
4.617626250E-1,2.285987139E0,-6.642975807E-1,3.715684175E0,4.412860452E0
4.718026250E-1,2.313918352E0,-7.614424825E-1,3.772713661E0,4.490810747E0
4.818426250E-1,2.264364243E0,-8.064488173E-1,3.805021763E0,4.500655034E0
4.918836250E-1,2.219068527E0,-9.278190732E-1,3.851061106E0,4.540460880E0
5.019236250E-1,2.142154694E0,-1.023890257E0,3.885812998E0,4.553758958E0
5.119636250E-1,2.047557831E0,-1.112208009E0,3.839587212E0,4.491317143E0
5.220036250E-1,2.061514378E0,-1.131991863E0,3.732925653E0,4.412026863E0
5.320446250E-1,2.059098721E0,-1.218907714E0,3.769443750E0,4.464787760E0
5.420846250E-1,2.063512087E0,-1.212565064E0,3.783399820E0,4.476886236E0
5.521246250E-1,2.122991800E0,-1.398039460E0,3.739141941E0,4.521370475E0
5.621656250E-1,2.168247223E0,-1.449048519E0,3.689351320E0,4.518002965E0
5.722056250E-1,2.181012869E0,-1.507764816E0,3.527227163E0,4.412652642E0
5.822456250E-1,2.149650097E0,-1.518658996E0,3.562119007E0,4.428996783E0
5.922856250E-1,1.973043442E0,-1.583062768E0,3.630120754E0,4.424563802E0
6.023266250E-1,1.659273028E0,-1.280893803E0,3.803078890E0,4.342497549E0
6.123666250E-1,1.541701436E0,-1.642894626E0,3.898764849E0,4.502922764E0
6.224066250E-1,1.538955212E0,-1.753854513E0,3.791480780E0,4.451933883E0
6.324476250E-1,1.482252955E0,-1.942575336E0,3.956580639E0,4.650290648E0
6.424876250E-1,1.403355837E0,-2.079908371E0,3.972897053E0,4.698865547E0
6.525276250E-1,1.297389984E0,-2.204738140E0,3.926352739E0,4.686185749E0
6.625376250E-1,1.231423974E0,-2.258924246E0,3.919014215E0,4.688050360E0
6.725776250E-1,1.181112885E0,-2.273133755E0,3.676188231E0,4.480683499E0
6.826176250E-1,1.182392001E0,-2.281934977E0,3.671979666E0,4.482043367E0
6.926586250E-1,1.115559459E0,-2.238495827E0,3.696547031E0,4.463159915E0
7.026986250E-1,1.013108730E0,-2.161036015E0,3.724387407E0,4.423519811E0
7.127386250E-1,9.221134782E-1,-2.152313232E0,3.763104677E0,4.432121651E0
7.227796250E-1,8.496603370E-1,-2.231482983E0,3.778249741E0,4.469520119E0
7.328196250E-1,7.644152045E-1,-2.267029285E0,3.806614876E0,4.496005916E0
7.428596250E-1,6.184601188E-1,-2.193518639E0,3.838639975E0,4.464210321E0
7.528996250E-1,4.560083151E-1,-2.132888556E0,3.896769524E0,4.465643279E0
7.629406250E-1,3.695456088E-1,-2.178802252E0,3.813899040E0,4.407898490E0
7.729806250E-1,3.999112844E-1,-2.414642096E0,3.739981174E0,4.469662702E0
7.830206250E-1,3.586471975E-1,-2.481666803E0,3.745174170E0,4.507064177E0
